,adx_1,adx_5,adx_20,adx_60,adx_240
31/8/2003,0.048560565,0.072721151,0.130665016,0.239551605,0.4464601
30/9/2003,0.016133057,0.008784339,-0.036464398,0.072219086,0.241192941
31/10/2003,0.004324882,0.000575603,-0.002514528,0.141448697,-0.056085329
30/11/2003,-0.044516604,-0.121840899,-0.191603983,0.054574967,-0.11018452
31/12/2003,0.00757731,0.017096633,0.003445985,-0.192920627,-0.227723219
31/1/2004,0.027202631,0.049280761,0.021298989,-0.079436995,0.04436606
29/2/2004,0.005113784,-0.015068674,-0.075764191,-0.193712667,-0.266340298
31/3/2004,0.008582784,0.007755125,-0.018795103,-0.078765904,-0.050532181
30/4/2004,0.030723035,0.057405293,0.124042383,0.136521707,0.30311812
31/5/2004,0.015215255,0.045478603,0.11619778,0.231535254,-0.144285129
30/6/2004,0.000853254,-0.011913266,-0.002268241,-0.00874772,-0.082014045
31/7/2004,0.004323086,-0.003919507,-0.059576845,-0.157011691,-0.219904269
31/8/2004,0.004756485,0.011540077,-0.013919814,-0.070960485,-0.079001704
30/9/2004,-0.017528237,-0.001722346,-0.005354415,-0.03549461,-0.051480083
31/10/2004,-0.00180171,0.003858693,-0.016546108,-0.017524999,-0.031176178
30/11/2004,0.01428455,0.015052042,0.027702481,-0.006018597,0.048784977
31/12/2004,0.001301082,-0.007258848,-0.026499283,-0.0440825,0.074611755
31/1/2005,-0.005980637,0.030820596,0.060171473,0.071437708,0.082188337
28/2/2005,0.007250796,-0.001993933,-0.00201331,0.020485033,0.047061991
31/3/2005,0.016813015,0.052370191,0.079973486,0.094429849,0.096232171
30/4/2005,-0.00570535,0.001236809,-0.006508353,-0.043374896,-0.033364046
31/5/2005,-0.001510894,-0.001433016,-0.030584886,0.00796477,-0.041075225
30/6/2005,-0.011425591,-0.01622187,0.013139769,0.057489432,0.068378817
31/7/2005,-0.019599535,-0.035195866,-0.044243783,-0.045763127,-0.055902731
31/8/2005,-0.002106936,0.006698403,0.018845412,0.012593946,0.019586493
30/9/2005,-0.005699211,-0.010662639,-0.011852431,-0.007867662,-0.031384322
31/10/2005,0.000177332,0.001956696,0.009196578,0.053686335,0.021928347
30/11/2005,-0.004432183,-0.011794781,-0.004192432,-0.003217173,-0.052393927
31/12/2005,0.003806176,0.005438108,0.016637077,0.00711946,0.016865399
31/1/2006,-0.005190314,-0.008441078,0.008723841,-0.000483012,-0.023383701
28/2/2006,0.01129827,0.018238609,0.028872438,0.028968393,0.025978044
31/3/2006,-0.012641221,-0.014097489,-0.020567433,-0.008087965,-0.03811256
30/4/2006,0.015057998,0.029077872,0.040247462,0.029819772,0.021831725
31/5/2006,-0.016091367,-0.02121303,-0.026556187,-0.010007513,-0.037308404
30/6/2006,-0.00533247,-0.002724073,-0.004962028,-0.00879647,0.023066685
31/7/2006,0.009451896,0.018827735,0.027069061,0.027055451,0.02285773
31/8/2006,0.015906512,0.005163142,0.01173059,0.017399594,0.048555167
30/9/2006,0.000108821,0.006451425,0.022316062,0.057319978,0.005287828
31/10/2006,0.004959043,0.008180594,0.00598001,-0.008559271,0.026716725
30/11/2006,0.008398132,0.002355019,-0.010935595,-0.021768976,-0.055994943
31/12/2006,0.002760857,-0.012807934,-0.023473372,-0.041523654,-0.112969819
31/1/2007,-0.005111201,-0.008438385,0.001618319,0.011426398,0.032359706
28/2/2007,-0.007591133,-0.02021179,-0.021461438,-0.036266824,-0.077436462
31/3/2007,-0.009791606,-0.010970866,0.00228904,0.022424361,-0.035568483
30/4/2007,-0.001045666,-0.00225615,0.020162273,0.013055201,0.024030119
31/5/2007,-0.000771726,-0.015225531,-0.016135795,-0.002273695,-0.016055655
30/6/2007,-0.002378589,-0.007883377,1.96E-05,0.0259266,0.028595417
31/7/2007,-0.001481412,-0.002871346,-0.015251528,-0.030696376,-0.015318589
31/8/2007,0.001183572,0.005493615,-0.00277154,-0.010545693,-0.083754846
30/9/2007,0.004564927,0.001031933,-0.03451233,-0.048407388,-0.022966747
31/10/2007,-0.012711824,-0.006999734,0.001477975,0.030277083,0.067763935
30/11/2007,-0.001757669,-0.006680804,-0.008550626,-0.002044153,-0.012662728
31/12/2007,0.000888556,0.002772854,0.004434219,-0.011702463,-0.079416687
31/1/2008,0.011930748,0.007681162,0.002038441,-0.021841713,-0.049077166
29/2/2008,0.004035865,0.006726014,0.000513646,0.003714215,0.004448936
31/3/2008,0.00869844,0.010629268,0.014857312,0.015550863,-0.00277606
30/4/2008,0.0007065,0.004038843,0.012619987,0.032617931,-0.025998856
31/5/2008,0.00164655,0.00198272,0.010551128,0.014510091,0.014662912
30/6/2008,0.008000399,0.008485288,0.005970096,-0.001202411,0.064888843
31/7/2008,-0.001283844,-0.004278557,-0.002976629,0.002752339,0.028176905
31/8/2008,-0.000786475,0.001247839,-0.00440816,-0.004011168,0.063810623
30/9/2008,-0.008238583,-0.014742623,-0.022403582,-0.017355587,-0.013640153
31/10/2008,0.014602497,0.028332061,0.030391336,0.028084402,0.100613
30/11/2008,0.006107321,0.008840964,0.022260291,0.039849682,0.038740787
31/12/2008,-0.001874488,-0.004287822,-0.006299991,-0.012221325,-0.045595693
31/1/2009,-0.001154094,0.00389606,-0.002112493,0.003622656,0.00119668
28/2/2009,0.004128696,0.009908374,0.018933211,0.023743006,0.010256544
31/3/2009,0.003255339,0.004936149,0.002499326,-0.000331606,-0.010459185
30/4/2009,-0.002979335,-0.005731514,-0.003270577,0.015469358,0.070030137
31/5/2009,-0.005842076,-0.006300608,-0.012533343,-0.013944964,0.026993302
30/6/2009,0.003185144,0.006931888,0.015736681,0.013689269,0.005714876
31/7/2009,0.003065193,0.007734136,-0.001471046,-0.013493029,-0.050905477
31/8/2009,-0.001639528,-0.002051776,-0.001587183,-0.017045134,-0.007288818
30/9/2009,-0.003482673,-0.00526174,-0.002398329,0.006946204,0.113427781
31/10/2009,0.001604323,0.001780527,-0.026196509,-0.053944247,-0.056812631
30/11/2009,-0.001888487,-0.001787963,0.009102074,0.015652522,0.032297784
31/12/2009,-0.002579874,-0.009458595,-0.02213778,-0.028026475,-0.02782839
31/1/2010,-0.002608335,-0.004593573,0.000768141,0.007524148,0.047991681
28/2/2010,0.000870304,0.001569552,-0.006208452,-0.008544352,0.041030761
31/3/2010,-0.003351216,-0.002950713,-0.006289104,0.008316239,0.003507937
30/4/2010,-0.001319532,-0.001716911,0.003933113,0.008315092,-0.030351802
31/5/2010,0.002658181,0.003045863,-0.014794661,-0.016448377,-0.036495844
30/6/2010,0.002605801,0.000993533,0.008326275,0.025713543,0.015253361
31/7/2010,0.001975228,-0.000768174,-0.007870295,-0.009046258,0.005779272
31/8/2010,-0.002057043,-0.007140544,-0.001382558,0.007858467,0.02324243
30/9/2010,0.000890555,0.006073105,0.02146487,0.024343903,0.017432684
31/10/2010,0.005839333,0.007413477,0.006568579,-0.015351198,-0.036297347
30/11/2010,-0.001775915,-0.001630571,-4.22E-05,-0.000870608,0.001354748
31/12/2010,-0.000710449,-0.001683327,0.004726339,-0.007669506,-0.007196942
31/1/2011,0.002112033,-0.002834494,-0.013839122,-0.027353297,-0.078751252
28/2/2011,0.00086631,0.00186996,0.007249746,0.021235708,0.064707627
31/3/2011,0.00575273,0.018958023,0.034790269,0.041224921,0.032117596
30/4/2011,0.003140804,0.008799338,0.012236,0.008693539,0.003912503
31/5/2011,0.004857888,0.003641085,-0.003466762,0.00866877,-0.0448001
30/6/2011,-0.00156866,-0.001815488,-0.000758392,0.004501569,0.047793599
31/7/2011,0.000637795,0.003385687,0.008982376,0.020652179,0.000581412
31/8/2011,-0.004398776,-0.010050156,-0.02486441,-0.054283053,-0.071717082
30/9/2011,0.005099612,0.007802503,0.024738788,0.066367071,0.032249951
31/10/2011,-0.000879755,-0.004829906,-0.019522569,-0.046562168,-0.046369255
30/11/2011,0.001780084,0.003941477,0.011861025,0.026626056,0.020618703
31/12/2011,0.001280832,0.000810765,0.014151101,0.025656144,-0.020713218
31/1/2012,-0.000740652,-0.0057868,-0.016954478,-0.01758182,0.01983045
29/2/2012,0.001421713,0.012904329,0.018613323,0.028555373,0.069333715
31/3/2012,0.004938547,0.016588295,0.036472625,0.039144268,0.0528342
30/4/2012,0.000947223,-0.002786609,-0.005565621,0.001708573,-0.030723576
31/5/2012,0.002645918,0.003906553,0.001231579,-0.01736382,-0.003110917
30/6/2012,0.003161427,0.002281847,0.019611939,0.039473561,0.006161614
31/7/2012,-0.005162264,0.000505972,0.024040026,0.082848142,0.090232823
31/8/2012,0.001091152,0.003264548,0.007522445,0.010425364,0.033863646
30/9/2012,0.0086973,0.01147658,0.01597139,-0.016354517,0.021119886
31/10/2012,-0.004953588,-0.00421242,-0.009866187,-0.010770014,-0.009635847
30/11/2012,0.003341196,0.005703352,0.000449416,0.010255206,0.011206945
31/12/2012,0.00247224,0.003316923,0.003288527,-0.009551802,-0.0003841
31/1/2013,0.001871985,0.001343777,0.003820584,-0.001743865,0.021098057
28/2/2013,-0.001616146,0.003502183,0.00814824,0.0140177,0.021701502
31/3/2013,-0.001476541,0.012584219,0.019461641,0.02201548,0.011197508
30/4/2013,0.004684812,0.009592197,0.017178538,0.005718606,0.058566586
